data,dia,seguidores,seguindo,posts
2021-02-06,Sab,2533936,6112,372
2021-02-07,Dom,6499148,6119,376
2021-02-08,Seg,7282351,6124,381
2021-02-09,Ter,8011508,6125,384
2021-02-10,Qua,8407109,6134,386
2021-02-11,Qui,8420417,6134,386
2021-02-12,Sex,8625604,6132,387
2021-02-13,Sab,8708965,6131,387
2021-02-14,Dom,8801228,6138,388
2021-02-15,Seg,8890967,6139,391
2021-02-16,Ter,8976139,6148,392
2021-02-17,Qua,9120060,6148,394
2021-02-18,Qui,9230944,6151,395
2021-02-19,Sex,9277828,6151,396
2021-02-20,Sab,9317449,6149,397
2021-02-21,Dom,9382995,6147,398
2021-02-22,Seg,9462879,6146,398
2021-02-23,Ter,9546399,6149,399
2021-02-24,Qua,9691386,6154,400
2021-02-25,Qui,9757295,6155,401
2021-02-26,Sex,9815761,6157,402
2021-02-27,Sab,9863329,6157,403
2021-02-28,Dom,9903756,6158,403
2021-03-01,Seg,9939651,6156,403
2021-03-02,Ter,9970313,6155,404
2021-03-03,Qua,9988943,6152,405
2021-03-03,Qua,9988943,6152,405
2021-03-04,Qui,10008330,6159,405
2021-03-06,Sab,10024091,6159,408
